Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N2502,125669.5,460664.5,77,198,127671,296580,0,0
N2371,104231.5,69246.75,70,31,113736,84460,0,0
N891,32052.0,439063.5,13,198,29939,253242,0,0
N1317,32052.0,439063.5,13,198,29939,253242,0,0
N1369,104231.5,69246.75,70,31,113736,84460,0,0
N126,32052.0,439063.5,13,198,29939,253242,0,0
N314,32052.0,439063.5,13,198,29939,253242,0,0
N496,104231.5,69246.75,70,31,113736,84460,0,0
N368,104231.5,69246.75,70,31,113736,84460,0,0
N564,104231.5,69246.75,70,31,113736,84460,0,0
N2511,104231.5,69246.75,70,31,113736,84460,0,0
N2475,104231.5,69246.75,70,31,113736,84460,0,0
N2750,125669.5,460664.5,77,198,127671,296580,0,0
N205,32052.0,439063.5,13,198,29939,253242,0,0
N1090,104231.5,69246.75,70,31,113736,84460,0,0
N1145,32052.0,439063.5,13,198,29939,253242,0,0
N2727,32052.0,439063.5,13,198,29939,253242,0,0
N118,32052.0,439063.5,13,198,29939,253242,0,0
N703,32052.0,439063.5,13,198,29939,253242,0,0
N401,104231.5,69246.75,70,31,113736,84460,0,0
N852,125669.5,460664.5,77,198,127671,296580,0,0
N315,104231.5,69246.75,70,31,113736,84460,0,0
N1576,104231.5,69246.75,70,31,113736,84460,0,0
N381,125669.5,460664.5,77,198,127671,296580,0,0
N2779,32052.0,439063.5,13,198,29939,253242,0,0
N2335,104231.5,69246.75,70,31,113736,84460,0,0
N692,104231.5,69246.75,70,31,113736,84460,0,0
N1763,32052.0,439063.5,13,198,29939,253242,0,0
N1162,32052.0,439063.5,13,198,29939,253242,0,0
N1786,104231.5,69246.75,70,31,113736,84460,0,0
N310,104231.5,69246.75,70,31,113736,84460,0,0
N1144,104231.5,69246.75,70,31,113736,84460,0,0
N104,104231.5,69246.75,70,31,113736,84460,0,0
N229,104231.5,69246.75,70,31,113736,84460,0,0
N1278,32052.0,439063.5,13,198,29939,253242,0,0
N1666,104231.5,69246.75,70,31,113736,84460,0,0
N2716,104231.5,69246.75,70,31,113736,84460,0,0
N436,104231.5,69246.75,70,31,113736,84460,0,0
N2206,125669.5,460664.5,77,198,127671,296580,0,0
N2325,104231.5,69246.75,70,31,113736,84460,0,0
N180,32052.0,439063.5,13,198,29939,253242,0,0
N221,104231.5,69246.75,70,31,113736,84460,0,0
N1131,104231.5,69246.75,70,31,113736,84460,0,0
N1762,32052.0,439063.5,13,198,29939,253242,0,0
N2062,104231.5,69246.75,70,31,113736,84460,0,0
N2500,104231.5,69246.75,70,31,113736,84460,0,0
N149,104231.5,69246.75,70,31,113736,84460,0,0
N2454,104231.5,69246.75,70,31,113736,84460,0,0
N1843,104231.5,69246.75,70,31,113736,84460,0,0
N2646,32052.0,439063.5,13,198,29939,253242,0,0
N373,104231.5,69246.75,70,31,113736,84460,0,0
N2208,104231.5,69246.75,70,31,113736,84460,0,0
N1048,104231.5,69246.75,70,31,113736,84460,0,0
N1049,32052.0,439063.5,13,198,29939,253242,0,0
N2742,32052.0,439063.5,13,198,29939,253242,0,0
N1851,32052.0,439063.5,13,198,29939,253242,0,0
N2300,104231.5,69246.75,70,31,113736,84460,0,0
N2128,32052.0,439063.5,13,198,29939,253242,0,0
N217,104231.5,69246.75,70,31,113736,84460,0,0
N1158,104231.5,69246.75,70,31,113736,84460,0,0
N1530,104231.5,69246.75,70,31,113736,84460,0,0
N912,32052.0,439063.5,13,198,29939,253242,0,0
N1447,104231.5,69246.75,70,31,113736,84460,0,0
N975,104231.5,69246.75,70,31,113736,84460,0,0
N1920,32052.0,439063.5,13,198,29939,253242,0,0
N440,125669.5,460664.5,77,198,127671,296580,0,0
N2749,32052.0,439063.5,13,198,29939,253242,0,0
