Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1267,49183.75,191992.375,52,150,125148,486044,0,0
N2227,53567.25,345113.375,56,364,135912,780401,0,0
N1801,53567.25,345113.375,56,364,135912,780401,0,0
N590,53568.75,345134.875,56,364,135912,780401,0,0
N1638,53568.75,345134.875,56,364,135912,780401,0,0
N2603,49183.75,191990.625,52,150,125148,486044,0,0
N1072,53567.25,345113.375,56,364,135912,780401,0,0
N382,53567.0,345113.625,55,365,135913,780400,0,0
N324,49183.75,191990.625,52,150,125148,486044,0,0
N344,53567.25,345113.375,56,364,135912,780401,0,0
N1228,53567.25,345113.375,56,364,135912,780401,0,0
N1668,49183.75,191990.625,52,150,125148,486044,0,0
N2297,53567.25,345113.375,56,364,135912,780401,0,0
N1672,53568.75,345134.875,56,364,135912,780401,0,0
N700,53567.25,345113.375,56,364,135912,780401,0,0
N248,49186.0,192006.625,52,150,125148,486044,0,0
N1660,53567.25,345113.375,56,364,135912,780401,0,0
N2460,49186.0,192006.625,52,150,125148,486044,0,0
N1082,53567.25,345113.375,56,364,135912,780401,0,0
N1804,49186.0,192006.625,52,150,125148,486044,0,0
N2045,53567.25,345113.375,56,364,135912,780401,0,0
N191,83895.0,439865.75,98,474,197968,960626,0,0
N462,53567.0,345113.625,55,365,135913,780400,0,0
N2504,53567.25,345113.375,56,364,135912,780401,0,0
N2395,83895.0,439861.5,98,474,197968,960626,0,0
N1505,53567.25,345113.375,56,364,135912,780401,0,0
N2340,53567.25,345113.375,56,364,135912,780401,0,0
N894,53567.25,345113.375,56,364,135912,780401,0,0
N2307,49186.0,192006.625,52,150,125148,486044,0,0
N2179,53567.25,345113.375,56,364,135912,780401,0,0
N1539,53567.25,345113.375,56,364,135912,780401,0,0
N2113,53568.75,345134.875,56,364,135912,780401,0,0
N2551,53567.25,345113.375,56,364,135912,780401,0,0
N771,53568.75,345134.875,56,364,135912,780401,0,0
N1186,49183.75,191990.625,52,150,125148,486044,0,0
N546,53567.25,345113.375,56,364,135912,780401,0,0
N2329,53567.5,345119.125,56,364,135912,780401,0,0
N2610,53567.25,345113.375,56,364,135912,780401,0,0
N2133,49183.75,191990.625,52,150,125148,486044,0,0
N1388,53568.75,345134.875,56,364,135912,780401,0,0
N2419,53567.25,345113.375,56,364,135912,780401,0,0
N2291,49183.75,191990.625,52,150,125148,486044,0,0
N2196,53567.25,345113.375,56,364,135912,780401,0,0
N1438,49186.0,192006.625,52,150,125148,486044,0,0
N1243,53567.25,345113.375,56,364,135912,780401,0,0
