Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N1194,1503703.125,495,2143896,0
N1729,2283439.625,895,3097256,0
N1728,1683811.625,713,2475527,0
N379,1683794.625,713,2475527,0
N2022,1683794.625,713,2475527,0
N191,2149837.0,865,2996282,0
N1830,2283439.625,895,3097256,0
N751,1683817.625,713,2475527,0
N610,1662116.0,631,2177800,0
N200,2283439.625,895,3097256,0
N615,1683817.625,713,2475527,0
N1431,1683817.625,713,2475527,0
N1539,1662122.125,631,2177800,0
N817,1662099.125,631,2177800,0
N1530,1503721.375,495,2143896,0
N1438,1503703.125,495,2143896,0
N680,1503703.125,495,2143896,0
N681,1482025.875,413,1846169,0
N683,1662122.125,631,2177800,0
N685,2149841.25,865,2996282,0
N689,1683817.625,713,2475527,0
N2321,1683817.625,713,2475527,0
N106,1683817.625,713,2475527,0
N1792,1662099.125,631,2177800,0
N1224,1683817.625,713,2475527,0
N10,1662122.125,631,2177800,0
N11,767477.375,202,1042858,0
N1222,1662122.125,631,2177800,0
N1223,1503703.125,495,2143896,0
N1228,947682.625,420,1374707,0
